148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 154
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 141
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
149.21945226815467 (40.77667, -73.94955) (40.68653, -73.94459) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
150.9681934014712 (40.78153, -73.90774) (40.69781, -73.96739) 60
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
149.22447146635864 (40.68763, -73.94493) (40.77769, -73.94881) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 165
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 156
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
149.21945226815467 (40.77667, -73.94955) (40.68653, -73.94459) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 154
149.21945226815467 (40.68653, -73.94459) (40.77667, -73.94955) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
163.7071536331883 (40.72883, -73.96002) (40.73599, -73.84452) 151
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 156
149.21945226815467 (40.68653, -73.94459) (40.77667, -73.94955) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 147
149.21945226815467 (40.68653, -73.94459) (40.77667, -73.94955) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 160
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
163.7071536331883 (40.72883, -73.96002) (40.73599, -73.84452) 186
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 159
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 159
150.45145556109122 (40.70635, -73.96788) (40.78153, -73.90774) 102
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 160
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 170
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 139
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 159
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 162
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 160
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
149.22447146635864 (40.68763, -73.94493) (40.77769, -73.94881) 221
149.22447146635864 (40.77769, -73.94881) (40.68763, -73.94493) 199
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
149.21945226815467 (40.77667, -73.94955) (40.68653, -73.94459) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 159
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 170
150.1736712367479 (40.70457, -73.96231) (40.78153, -73.90774) 56
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
