28.41002265946463 [(40.72253069541817, -73.98654731244332), (40.617081535296464, -74.08019509204642), (40.808887523416885, -73.94873982928223), (40.75894460442671, -73.97923001573018), (40.62648656786211, -73.94836588901782), (40.693126842459705, -73.9276930623822), (40.75236952048165, -73.8939344749256), (40.67401023251833, -73.97153766246316), (40.85955033649954, -73.8839887513507), (40.68452192872302, -73.78868812237043)]
28.503656950790266 [(40.63622165808429, -73.95863458279037), (40.68337155307759, -73.78722417330528), (40.612941417437604, -74.09904742697563), (40.68237561584392, -73.99401502203331), (40.74323750595299, -73.98677331455109), (40.857134404172015, -73.89126338009973), (40.80055864105265, -73.95205189527802), (40.68446775553234, -73.91211566249281), (40.75238259349774, -73.89417061810818), (40.69889234006128, -73.9497800071156)]
28.372646750386465 [(40.79749816302659, -73.95100714198055), (40.62656488012014, -73.97341571324688), (40.85646634567286, -73.89393078156984), (40.67813807982345, -73.96710390919715), (40.61242116130835, -74.10516736815492), (40.720453619240004, -73.94836041237248), (40.74955091632451, -73.87805815473214), (40.68476301327859, -73.91856470739751), (40.74058556886223, -73.98948597808523), (40.67706951635654, -73.78439107247192)]
27.065712168009583 [(40.857093570620655, -73.89180975520374), (40.7406843117178, -73.98857046035054), (40.6983075040253, -73.95733670495007), (40.658477816819726, -73.7735875183525), (40.731944614294754, -73.82584141063087), (40.75422424552731, -73.90751095956408), (40.68400520290781, -73.91752790788493), (40.800547632529465, -73.95276647177708), (40.612439140058164, -74.10496927507432), (40.643720688231625, -73.97385216317348)]
28.895511704283102 [(40.69328986382444, -73.95509488886015), (40.75429363666721, -73.90686236788304), (40.75754983551231, -73.97975091209717), (40.63066583626711, -74.00136189820027), (40.68128349050229, -73.91717004657373), (40.85943998169781, -73.8846022020544), (40.72046914440941, -73.99490700012768), (40.65842415900209, -73.77351518251682), (40.80834437076155, -73.9491033991997), (40.731658474084476, -73.82577916742058)]
27.39978540960745 [(40.683789308011335, -73.9145778064043), (40.752572516118185, -73.89366554291047), (40.758115188124265, -73.97908677647985), (40.80877279229604, -73.94876996411703), (40.85955033649954, -73.8839887513507), (40.64307861566356, -73.97229851654252), (40.69840564307474, -73.9529531987342), (40.61245997100474, -74.10476841923092), (40.71997435396678, -73.99480657243183), (40.683199548652816, -73.787325225342)]
27.39980353047532 [(40.8084004735673, -73.9489162873513), (40.8594084481009, -73.88450209317948), (40.69840481496844, -73.95289371239888), (40.683787752726616, -73.9145482137492), (40.61245997100474, -74.10476841923092), (40.683199548652816, -73.787325225342), (40.75255303698318, -73.89365825359292), (40.75793011451527, -73.97925656285146), (40.719835414504004, -73.99478887084608), (40.64310943380642, -73.97229995307048)]
27.399784889057635 [(40.758115188124265, -73.97908677647985), (40.683789308011335, -73.9145778064043), (40.71997435396678, -73.99480657243183), (40.80877279229604, -73.94876996411703), (40.683199548652816, -73.787325225342), (40.752572516118185, -73.89366554291047), (40.61245997100474, -74.10476841923092), (40.64308996420942, -73.97230205984552), (40.69840872582739, -73.95294864787586), (40.85955033649954, -73.8839887513507)]
27.39974315561275 [(40.69842343685135, -73.95292421476664), (40.719905604757166, -73.99480417684518), (40.61245997100474, -74.10476841923092), (40.64310943380642, -73.97229995307048), (40.80859054713197, -73.94885804654761), (40.859464423191284, -73.88429701009201), (40.683199548652816, -73.787325225342), (40.75802617985488, -73.97916494271196), (40.683789308011335, -73.9145778064043), (40.75257113403158, -73.89367928398529)]
27.399784483284666 [(40.8087687706183, -73.94877779019644), (40.75811661291357, -73.97909286566643), (40.71997435396678, -73.99480657243183), (40.75257113403158, -73.89367928398529), (40.859525011970725, -73.88401078597732), (40.61245997100474, -74.10476841923092), (40.69841637755205, -73.95294379355292), (40.64310943380642, -73.97229995307048), (40.683199548652816, -73.787325225342), (40.683789308011335, -73.9145778064043)]
